OTUTEYE CHRISTIAN CORLETEY,NDC,13792,2012,SEGE,M
DIVINE OTOO AGORHOM,NPP,10673,2012,SEGE,M
JOHN TETTEH KITCHER,PPP,179,2012,SEGE,M
JOHANNES NMONLOTEY KIRKFIELD,CPP,59,2012,SEGE,M
TETTEY FRANK KORBLAH,NDP,34,2012,SEGE,M
JOHN MAHAMA,NDC,22444,2012,Shai-Osudoku,P
HENRY LARTEY,GCPP,61,2012,Shai-Osudoku,P
NANA AKUFO-ADDO,NPP,7444,2012,SHAI-OSUDOKU,P
PAA KWESI NDUOM,PPP,189,2012,SHAI-OSUDOKU,P
AKWASI ADAE,UFP,25,2012,SHAI-OSUDOKU,P
HASSAN AYARIGA,PNC,40,2012,SHAI-OSUDOKU,P
ABU SAKARA,CPP,47,2012,SHAI-OSUDOKU,P
JACOB OSEI YEBOAH,IND,31,2012,SHAI-OSUDOKU,P
DAVID TETTEH ASUMENG,NDC,18089,2012,SHAI-OSUDOKU,M
DANIEL CHRISTIAN DUGAN,NPP,6991,2012,SHAI-OSUDOKU,M
EMMANUEL MAATEY TETTEH,PPP,5069,2012,SHAI-OSUDOKU,M
SOLOMON NARH DORH,CPP,517,2012,SHAI-OSUDOKU,M
JOHN MAHAMA,NDC,16635,2012,TEMA CENTRAL,P
HENRY LARTEY,GCPP,29,2012,TEMA CENTRAL,P
NANA AKUFO-ADDO,NPP,27998,2012,TEMA CENTRAL,P
PAA KWESI NDUOM,PPP,292,2012,TEMA CENTRAL,P
AKWASI ADAE,UFP,0,2012,TEMA CENTRAL,P
HASSAN AYARIGA,PNC,17,2012,TEMA CENTRAL,P
ABU SAKARA,CPP,85,2012,TEMA CENTRAL,P
JACOB OSEI YEBOAH,IND,3,2012,TEMA CENTRAL,P
KOFI BRAKO,NPP,26948,2012,TEMA LAMPTEY,M
LAWYER JAMES ENU,NDC,14360,2012,TEMA LAMPTEY,M
KWABENA AMUQUANDOH OKYERE,PPP,3510,2012,TEMA LAMPTEY,M
ISAAC NUKU KOFI ASEMPA,CPP,193,2012,TEMA LAMPTEY,M
JOHN MAHAMA,NDC,32162,2012,TEMA EAST,P
HENRY LARTEY,GCPP,74,2012,TEMA EAST,P
NANA AKUFO-ADDO,NPP,30701,2012,TEMA EAST,P
