HASSAN AYARIGA,,PNC,45,2012,,UPPER DENKYIRA EAST,,P
ABU SAKARA,,CPP,40,2012,,UPPER DENKYIRA EAST,,P
JACOB OSEI YEBOAH,,IND,20,2012,,UPPER DENKYIRA EAST,,P
NANA AMOAKO,,NPP,21020,2012,,UPPER DENKYIRA EAST,,M
DR. MARK KURT NAWAANE,,NDC,173319,2012,,UPPER DENKYIRA EAST,,M
ALEX NKANSAH,,PPP,484,2012,,UPPER DENKYIRA EAST,,M
OFFIN AMANIAMPONG OWUSU,,PNC,88,2012,,UPPER DENKYIRA EAST,,M
PETER OLIVER SEIM,,NDP,31,2012,,UPPER DENKYIRA EAST,,M
JOHN MAHAMA,,NDC,10830,2012,,UPPER DENKYIRA WEST,,P
HENRY LARTEY,,GCPP,126,2012,,UPPER DENKYIRA WEST,,P
NANA AKUFO-ADDO,,NPP,15364,2012,,UPPER DENKYIRA WEST,,P
PAA KWESI NDUOM,,PPP,180,2012,,UPPER DENKYIRA WEST,,P
AKWASI ADAE,,UFP,16,2012,,UPPER DENKYIRA WEST,,P
HASSAN AYARIGA,,PNC,32,2012,,UPPER DENKYIRA WEST,,P
ABU SAKARA,,CPP,32,2012,,UPPER DENKYIRA WEST,,P
JACOB OSEI YEBOAH,,IND,23,2012,,UPPER DENKYIRA WEST,,P
BENJAMIN KOFI AYEH,,NPP,14111,2012,,UPPER DENKYIRA WEST,,M
ACKAH MANSFIELD YANKEY,,NDC,10192,2012,,UPPER DENKYIRA WEST,,M
DANIEL OHENE DARKO,,IND,2069,2012,,UPPER DENKYIRA WEST,,M
ASAMOAH BERNARD,,PPP,422,2012,,UPPER DENKYIRA WEST,,M
